index,Address_x,Beds,Baths,Area,Noise,PropertyType,DaysOnRealtor.com,YearBuilt,Latitude,Longitude,Accuracy Score,City_x,County,FemaInfo,FloodFactorInfo,LastSoldAmt,LastSoldYear,SizeRank,zillow_price,zillow_price_change,zillow_price_change_rate,zillow_price_change_percent,last_sold_price_change,last_sold_price_change_percent,yearly_price_delta,yearly_price_delta_percent
0,"1 Las Olas Cir Apt 517, Fort Lauderdale, FL, 33316",2.0,2.0,1350.0, Medium,Condo,412.0,1970.0,26.118226,-80.106961,1.0,Fort Lauderdale,Broward County,X500   (),flood_factor_high,600000,2019.0,6556,495061.0,16878.0,8439.0,0.034092768365918534,49000.0,0.08166666666666668,-6211.727272727272,0.047573898300748124
1,"1 N Ocean Blvd Apt 610, Pompano Beach, FL, 33062",2.0,2.0,1479.0, Medium,Condo,156.0,2008.0,26.232514,-80.091608,1.0,Pompano Beach,Broward County,X500   (),flood_factor_high,640000,2015.0,1036,280804.0,72726.0,12121.0,0.2589920371504679,49000.0,0.0765625,-9893.727272727272,-0.18242953715046792
449,"2375 SE 10th St, Pompano Beach, FL, 33062",2.0,2.0,1522.0, Medium,Single Family Home,43.0,1955.0,26.218289,-80.10140200000002,1.0,Pompano Beach,Broward County,AE   (),flood_factor_high,295000,2010.0,1036,221403.0,132127.0,12011.545454545454,0.5967714981278484,394900.0,1.3386440677966105,5938.454545454546,0.7418725696687619
883,"710 N Ocean Blvd Apt 503, Pompano Beach, FL, 33062",2.0,2.0,1028.0, Medium,Condo,62.0,1964.0,26.243361,-80.08722399999998,1.0,Pompano Beach,Broward County,VE   (),flood_factor_high,260000,2019.0,1036,329454.0,24076.0,12038.0,0.07307848743678935,109900.0,0.4226923076923077,-7042.545454545455,0.34961382025551835
909,"750 N Ocean Blvd Apt 1101, Pompano Beach, FL, 33062",2.0,2.0,1140.0, Medium,Condo,691.0,1970.0,26.244593,-80.087189,1.0,Pompano Beach,Broward County,X   (),flood_factor_low,243000,2012.0,1036,219779.0,133751.0,14861.222222222224,0.6085704275658729,456900.0,1.8802469135802469,5906.959595959597,1.271676486014374
2,"100 Lincoln Rd Unit 643, Miami Beach, FL, 33139",1.0,1.0,845.0, Medium,Condo,178.0,1965.0,25.79045,-80.12902700000002,1.0,Miami Beach,Miami-Dade County,AE   (),flood_factor_high,520000,2015.0,101,264769.0,-18458.0,-3076.333333333333,-0.06971359940174265,130000.0,0.25,8985.424242424242,0.31971359940174265
3,"100 Lincoln Rd Unit 702, Miami Beach, FL, 33139",1.0,1.0,820.0, Medium,Condo,179.0,1965.0,25.79045,-80.12902700000002,1.0,Miami Beach,Miami-Dade County,AE   (),flood_factor_high,520000,2014.0,101,250154.0,-3843.0,-549.0,-0.015362536677406715,-70000.0,-0.1346153846153846,-2632.818181818182,-0.11925284793797787
4,"100 N Ocean Blvd Unit 208, Delray Beach, FL, 33483",3.0,3.0,2150.0, Medium,Condo,177.0,1957.0,26.463537,-80.058697,1.0,Delray Beach,Palm Beach County,X   (),flood_factor_high,1510000,2018.0,5841,812825.0,94012.0,31337.33333333333,0.1156608125980377,985000.0,0.652317880794702,13435.39393939394,0.5366570681966643
579,"3218 Palm Dr, Delray Beach, FL, 33483",3.0,3.0,2048.0, Medium,Single Family Home,42.0,1948.0,26.495907,-80.061208,1.0,Delray Beach,Palm Beach County,X500   (),flood_factor_high,277000,2014.0,5841,629546.0,277291.0,39613.0,0.44046185663954657,347900.0,1.2559566787003609,-23799.363636363636,0.8154948220608145
5,"100 S Pointe Dr Apt 1908, Miami Beach, FL, 33139",2.0,2.5,1757.0, Low,Condo,118.0,2002.0,25.766816,-80.132849,1.0,Miami Beach,Miami-Dade County,AE   (),flood_factor_high,1820000,2008.0,101,655792.0,-51256.0,-3942.769230769231,-0.07815892844072511,1380000.0,0.7582417582417582,66670.04195804195,0.8364006866824834
6,"100 S Pointe Dr Apt 2807, Miami Beach, FL, 33139",2.0,2.5,1757.0, Low,Condo,224.0,2002.0,25.766816,-80.132849,1.0,Miami Beach,Miami-Dade County,AE   (),flood_factor_high,1110000,2003.0,101,380386.0,224150.0,12452.777777777776,0.5892698469449454,2690000.0,2.4234234234234235,109819.9494949495,1.834153576478478
54,"1100 West Ave Unit 816, Miami Beach, FL, 33139",2.0,2.0,1088.0, Medium,Condo,243.0,2008.0,25.781948,-80.142781,1.0,Miami Beach,Miami-Dade County,AE   (),flood_factor_high,813000,2014.0,101,594769.0,9767.0,1395.2857142857142,0.016421501456868128,-148000.0,-0.1820418204182042,-8122.5584415584435,-0.19846332187507232
727,"50 S Pointe Dr Apt 2403, Miami Beach, FL, 33139",2.0,2.5,1862.0, Low,Condo,106.0,2008.0,25.76786400000001,-80.13282199999998,1.0,Miami Beach,Miami-Dade County,AE   (),flood_factor_high,2250000,2011.0,101,430415.0,174121.0,17412.1,0.4045421279462844,1449000.0,0.644,48451.53636363637,0.2394578720537156
7,"100 SW 130th Ter Unit 406C, Pembroke Pines, FL, 33027",2.0,2.0,1193.0, Medium,Condo,89.0,1986.0,26.004306,-80.32058599999998,0.8,Pembroke Pines,Broward County,X500   (),flood_factor_high,135000,2020.0,292,155811.0,13120.0,13120.0,0.08420458119131513,58500.0,0.43333333333333335,-10460.909090909092,0.3491287521420182
8,"1000 Parkview Dr Apt 322, Hallandale Beach, FL, 33009",2.0,1.5,1075.0, Medium,Condo,172.0,1976.0,25.996491,-80.120727,1.0,Hallandale Beach,Broward County,AE   (),flood_factor_high,86000,2011.0,230,154626.0,94062.0,9406.2,0.6083194288153351,158900.0,1.8476744186046512,-2183.4727272727278,1.239354989789316
341,"1850 S Ocean Dr Apt 3109, Hallandale, FL, 33009",2.0,1.0,1086.0, Medium,Condo,131.0,2005.0,25.984324,-80.11886,1.0,Hallandale Beach,Broward County,AE   (),flood_factor_high,425000,2017.0,230,234716.0,13972.0,3493.0,0.05952725847407079,34000.0,0.08,-1947.5454545454545,0.020472741525929213
391,"2030 S Ocean Dr Apt 1204, Hallandale Beach, FL, 33009",2.0,2.0,1248.0, Medium,Condo,255.0,1970.0,25.97816700000001,-80.119321,1.0,Hallandale Beach,Broward County,X   (),flood_factor_high,290000,2016.0,230,228959.0,19729.0,3945.8,0.08616826593407552,34000.0,0.11724137931034485,-2400.345454545455,0.031073113376269293
487,"2641 S Parkview Dr Unit 2641, Hallandale Beach, FL, 33009",2.0,2.0,1680.0, Medium,Townhome,190.0,1979.0,25.992503,-80.124066,1.0,Hallandale Beach,Broward County,AE   (),flood_factor_high,400000,2016.0,230,228959.0,19729.0,3945.8,0.08616826593407552,229000.0,0.5725,6463.290909090911,0.4863317340659245
821,"619 NE 14th Ave Apt 301, Hallandale Beach, FL, 33009",2.0,2.0,1092.0, Medium,Condo,20.0,1969.0,25.992894,-80.134887,1.0,Hallandale Beach,Broward County,AE   (),flood_factor_high,135000,2017.0,230,234716.0,13972.0,3493.0,0.05952725847407079,124000.0,0.9185185185185184,2143.363636363636,0.8589912600444477
10,"1001 Hillcrest Ct Apt 208, Hollywood, FL, 33021",1.0,1.5,744.0, Medium,Condo,79.0,1991.0,26.00053,-80.1924,1.0,Hollywood,Broward County,X500   (),flood_factor_low,91000,2016.0,663,77425.0,29128.0,5825.6,0.3762092347433,36000.0,0.3956043956043956,-4189.236363636364,0.01939516086109561
760,"5300 Washington St Apt A338, Hollywood, FL, 33021",1.0,1.0,720.0, Medium,Condo,41.0,1966.0,26.000653,-80.196602,1.0,Hollywood,Broward County,X500   (),flood_factor_low,40000,2014.0,663,68018.0,38535.0,5505.0,0.5665412096797906,45000.0,1.125,-3459.5454545454545,0.5584587903202094
11,"10044 S Ocean Dr Apt 203, Jensen Beach, FL, 34957",2.0,2.0,1197.0, Low,Condo,148.0,1983.0,27.280815000000004,-80.208807,1.0,Jensen Beach,St. Lucie County,AO   (),flood_factor_high,280000,2019.0,2713,252040.0,27683.0,13841.5,0.10983574035867323,39900.0,0.1425,-12027.863636363636,0.032664259641326764
14,"10102 S Ocean Dr Unit 203A, Jensen Beach, FL, 34957",2.0,2.0,1053.0, Medium,Condo,12.0,1978.0,27.2792,-80.20787,1.0,Jensen Beach,St. Lucie County,AO   (),flood_factor_high,232000,2019.0,2713,252040.0,27683.0,13841.5,0.10983574035867323,127000.0,0.5474137931034483,-8068.772727272727,0.4375780527447751
252,"1585 NE Beacon Dr Apt 1107, Jensen Beach, FL, 34957",2.0,2.0,961.0, Medium,Condo,4.0,1985.0,27.224346,-80.231036,1.0,Jensen Beach,Martin County,X   (),flood_factor_low,100000,2017.0,2713,220793.0,58930.0,14732.5,0.2669015774956633,59900.0,0.599,-12009.772727272728,0.33209842250433663
12,"1005 SW Coleman Ave, Port Saint Lucie, FL, 34953",3.0,2.0,1784.0, Low,Single Family Home,222.0,1982.0,27.282173,-80.377646,1.0,Port Saint Lucie,St. Lucie County,X   (),flood_factor_low,139000,2015.0,265,146360.0,102642.0,17107.0,0.7012981688986062,101000.0,0.7266187050359713,-12516.090909090908,0.02532053613736507
16,"1013 SW College Park Rd, Port Saint Lucie, FL, 34953",3.0,2.0,1608.0, Medium,Single Family Home,11.0,2006.0,27.261358,-80.370994,1.0,Port Saint Lucie,St. Lucie County,X   (),flood_factor_high,85000,2013.0,265,108334.0,140668.0,17583.5,1.2984658555947348,200900.0,2.363529411764706,-8451.681818181818,1.0650635561699713
13,"101 Majestic Bay Ave, Cape Canaveral, FL, 32920",3.0,2.0,1783.0, Medium,Townhome,102.0,2005.0,28.386394,-80.607507,1.0,Cape Canaveral,Brevard County,X   (),flood_factor_high,265000,2018.0,6619,312731.0,46769.0,15589.666666666664,0.14955025245338646,94900.0,0.3581132075471698,-11276.030303030302,0.20856295509378334
